SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
111WE0816_6.12.13_1,111WE0816,8305328,17.41266302,1.013630137,0.923687596,0.968658866,111WE0816_6.12.13_1
111WE1050_6.12.13_1,111WE1050,8297445,16.40506841,1.194752713,1.253331348,1.224042031,111WE1050_6.12.13_1
111WE1071_7.26.12_1,111WE1071,8297463,7.098331143,0.974407439,0.916606376,0.945506907,111WE1071_7.26.12_1
111WER003_6.10.14_1,111WER003,8305416,15.35899098,0.977169226,0.949432599,0.963300913,111WER003_6.10.14_1
111WER008_7.23.12_1,111WER008,8308060,19.7244715,0.951863273,1.082288794,1.017076033,111WER008_7.23.12_1
111WER159_10.19.09_1,111WER159,8308468,22.31071877,1.145637676,1.021807116,1.083722396,111WER159_10.19.09_1
112PS0157_7.12.11_1,112PS0157,2544631,16.60570551,1.014711479,0.726587255,0.870649367,112PS0157_7.12.11_1
113GAR010_8.27.12_1,113GAR010,2666411,16.81373862,0.999182893,0.925334262,0.962258578,113GAR010_8.27.12_1
113GAR011_8.22.11_1,113GAR011,2666309,17.40549577,1.016920186,0.891537295,0.954228741,113GAR011_8.22.11_1
113GAR015_9.9.13_1,113GAR015,2666843,13.51478144,0.765828144,0.652566527,0.709197336,113GAR015_9.9.13_1
113GAR030_8.28.12_1,113GAR030,2666381,13.27548334,0.868769373,0.707883295,0.788326334,113GAR030_8.28.12_1
113GAR038_9.10.12_1,113GAR038,2666409,17.16146036,1.016813234,0.967124388,0.991968811,113GAR038_9.10.12_1
113GAR046_9.2.14_1,113GAR046,2666381,13.26735661,0.944046382,0.927028549,0.935537465,113GAR046_9.2.14_1
113GAR061_9.3.14_1,113GAR061,2666303,13.22464532,0.90487619,0.815941255,0.860408723,113GAR061_9.3.14_1
113GAR062_8.27.12_1,113GAR062,2666375,12.39509222,0.996362091,0.89935165,0.94785687,113GAR062_8.27.12_1
113GAR084_6.28.10_1,113GAR084,2666145,13.29508311,1.203452424,0.989401882,1.096427153,113GAR084_6.28.10_1
113GAR087_8.6.13_1,113GAR087,2666243,13.31587911,0.922457559,0.687904489,0.805181024,113GAR087_8.6.13_1
113GAR089_6.20.11_1,113GAR089,2666257,17.05148086,0.875779263,0.86444407,0.870111667,113GAR089_6.20.11_1
113GAR094_7.27.10_1,113GAR094,2666381,13.2676185,0.91764773,0.723843347,0.820745539,113GAR094_7.27.10_1
113GAR105_6.20.11_1,113GAR105,2666269,15.10477206,0.908322214,0.930654991,0.919488603,113GAR105_6.20.11_1
113GAR110_9.2.14_1,113GAR110,2666405,13.13411892,0.950768002,1.021489856,0.986128929,113GAR110_9.2.14_1
113GAR112_7.22.14_1,113GAR112,2666835,13.42346002,1.075852772,0.935958404,1.005905588,113GAR112_7.22.14_1
113GAR118_9.10.12_1,113GAR118,2666405,15.21264791,1.136116042,1.012131888,1.074123965,113GAR118_9.10.12_1
113GAR178_7.23.14_1,113GAR178,2666337,15.86541204,1.241694823,1.090024072,1.165859448,113GAR178_7.23.14_1
113GAR244_6.28.10_1,113GAR244,2666155,15.85136181,1.070885909,1.014085293,1.042485601,113GAR244_6.28.10_1
113PS0012_9.9.08_1,113PS0012,2664261,13.28149952,1.1030381,0.959199448,1.031118774,113PS0012_9.9.08_1
113PS0076_8.22.12_1,113PS0076,2666835,14.11764912,1.204166491,1.062140402,1.133153446,113PS0076_8.22.12_1
