StationID,New_Lat,New_Long
SMC06653,33.9637117,-117.46268
SMC06714,32.6758,-117.00603
SMC06740,34.1807329,-118.8744298
SMC06794,32.8302964,-116.64672
SMC06863,34.4941698,-119.30535
SMC06904,34.419678,-118.78762
SMC07085,33.8838196,-117.51706
SMC07126,32.8434597,-117.03499
SMC07128,34.34480875,-118.3619765
SMC07828,34.27567808,-118.8944784
SMC08068,34.18020769,-119.1037067
SMC08094,33.8195224,-117.85355
SMC08150,32.8373223,-117.01979
SMC08157,33.5391339,-117.26484
SMC08335,34.3458855,-119.29951
SMC08414,33.796306,-117.81994
SMC08426,32.65071,-117.05483
SMC08655,34.5082206,-119.28404
SMC08660,34.28495383,-118.8693831
SMC08845,33.8735355,-117.21443
SMC09091,33.7133968,-117.7958319
SMC09118,33.80878056,-117.8626159
SMC09162,32.8408791,-116.70988
SMC09174,32.8396738,-117.00183
SMC09286,32.7818797,-117.11418
SMC09325,33.5625284,-117.12886
SMC09503,34.4975675,-119.33913
SMC09591,34.1039648,-117.16672
SMC09698,33.7459227,-116.70738
SMC10198,32.821824,-116.97619
SMC10685,34.0188203,-117.36879
SMC10756,34.42352216,-118.9288084
SMC11181,33.8888266,-117.50297
SMC11343,34.3728727,-119.30855
SMC11430,32.848352,-116.86012
SMC11581,33.9520362,-117.6066
SMC11593,33.4646179,-117.27792
SMC11727,34.4784671,-119.29335
SMC12246,32.83988796,-117.0428545
SMC12862,33.921483,-118.11149
SMC13062,32.77548502,-117.1955706
SMC13187,33.67807404,-117.8024507
SMC13214,33.80453149,-117.8724084
SMC13391,34.4179083,-119.26999
SMC13402,32.81507335,-116.5654208
SMC13599,34.4989794,-119.34187
SMC13630,33.8608337,-118.10342
SMC14099,33.62772224,-117.7355714
SMC14211,33.68948519,-117.8230866
SMC14218,32.8299851,-116.73604
SMC15677,33.9540988,-117.60468
SMC16045,33.8819353,-117.52241
SMC16169,33.74654851,-117.5935285
SMC16266,32.8185584,-116.75313
SMC16446,34.4129833,-119.27294
SMC16832,33.8844398,-118.10855
SMC16980,34.4326882,-119.24975
SMC17432,33.84435,-118.09802
SMC17918,32.66308691,-117.031729
SMC18046,34.42233403,-119.2645502
SMC18169,33.8917519,-117.57191
SMC18545,34.4843681,-119.3084428
SMC19228,32.6640469,-116.98508
SMC19552,32.83946175,-117.0238016
SMC19669,33.57150358,-117.1610317
SMC19697,34.34808172,-119.3008795
SMC19809,34.5013483,-119.3529618
SMC19945,34.50495923,-119.2817754
SMC20032,33.8766423,-118.10775
SMC20497,34.31230232,-119.2983849
SMC21069,33.59691984,-117.1241435
SMC21371,33.894502,-117.57861
SMC21822,33.8723705,-117.70893
SMC21921,33.88788907,-117.5057604
SMC22521,33.87800368,-117.5405022
SMC23495,32.83389787,-116.7230298
SMC24222,33.8714981,-117.71733
SMC24921,33.878246,-117.55355
SMC26288,33.7755508,-117.69538
SMC26909,33.6663642,-117.27519
SMC27709,33.6626982,-117.28999
SMC29064,33.7956097,-116.74266
SMC32718,32.8845526,-116.82225
SMC32897,33.8689631,-117.21319
SMC33179,33.47315683,-117.1435069
SMC34888,33.7738814,-117.68434
SMC35697,34.353928,-119.30973
SMC35837,33.7364053,-116.82611
SMC37632,32.67204914,-116.9990446
SMC40887,33.76274758,-117.4638484
SMCR8_218,33.8086603,-116.74191
SMCR8_474,34.2476693,-117.62449
SMCR8_513,33.719636,-116.7621
SMCR8_572,34.0679585,-117.29326
SMCR8_601,34.0265599,-117.58724
SMCR8_605,33.7389633,-116.72555
SMCR8_613,33.9846311,-117.12823
SMCR8_688,33.7517427,-116.70593
