id,site_type,ASCI
204R00751_6.5.13_1,Intermediate,0.700931885
204R00751_6.5.13_2,Intermediate,0.829597863
204R00807_5.21.13_1,Stressed,0.687944231
204R00852_5.6.13_1,Stressed,0.540523593
204R00884_5.20.13_1,Stressed,0.692246516
204R00967_4.25.13_1,Stressed,0.54173569
204R01316_5.22.13_1,Stressed,0.408840598
204R01471_5.22.13_1,Stressed,0.748595908
204SIN300_5.15.12_1,Reference,1.043339881
204SLE150_5.9.13_1,Intermediate,0.699513558
204VAL400_5.19.14_1,Reference,0.979100183
205AAG075_6.12.13_1,Reference,0.851573831
205AAG375_5.14.14_1,Reference,0.981508195
205AAG400_6.5.12_1,Reference,0.9044682
205AAG400_6.5.12_2,Reference,0.966605416
205COY140_6.17.09_1,Intermediate,0.929917155
205COY585_5.28.13_1,Reference,1.08565571
205COY610_4.15.09_1,Reference,0.995393727
205COY610_4.15.09_2,Reference,1.043510432
205COY610_4.30.08_1,Reference,0.894581642
205COY610_6.3.10_1,Reference,1.10982422
205COY610_6.8.09_1,Reference,1.196550181
205COY615_6.3.14_1,Reference,1.109159717
205COY615_6.3.14_2,Reference,1.115219032
205COY850_5.21.12_1,Reference,1.20639409
205COY853_5.29.14_1,Reference,1.145163283
205COY900_5.16.12_1,Reference,0.997006737
205COY930_5.7.13_1,Reference,1.158634595
205CYCAHH_6.10.08_1,Reference,1.14999882
205CYCBBC_6.28.10_1,Reference,1.078162093
205DW0011_5.5.14_1,NA,0.877116625
205DW0142_5.8.14_1,NA,0.638045138
205DW0151_5.7.14_1,NA,0.568006674
205DW0246_6.17.14_1,NA,0.895195433
205GCAxxx_7.15.10_1,Intermediate,0.837380432
205GCAxxx_7.15.10_2,Intermediate,0.926107745
205LGA700_5.23.12_1,Reference,1.183918698
205PS0045_6.17.09_1,Stressed,0.91931035
205PS0045_6.17.09_2,Stressed,1.00938469
205PS0074_7.14.10_1,Stressed,0.838702711
205PS0106_6.21.11_1,Stressed,0.595687501
205PS0109_6.21.11_1,Stressed,0.818140612
205PS0138_6.1.11_1,Stressed,0.744768568
205PS0157_6.19.12_1,Stressed,0.761682853
205PS0170_6.19.12_1,Stressed,0.511650514
205PS0173_6.20.12_1,Stressed,0.729319044
