STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
46979,391974N1202373W001,NA,PlumpJack Deep,39.1974,-120.237,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,132,Observation,Single Well
46978,391975N1202374W001,NA,PlumpJack Shallow,39.1975,-120.237,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,34,Observation,Single Well
46984,391977N1202286W001,NA,Poulsen Deep,39.1977,-120.229,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,105,Observation,Single Well
46983,391978N1202286W001,NA,Poulsen Shallow,39.1978,-120.229,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,29,Observation,Single Well
46980,391978N1202320W001,NA,SVPSD-4R,39.1978,-120.232,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,74,Observation,Single Well
46982,391980N1202300W001,NA,MW-5D,39.198,-120.23,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,90,Observation,Single Well
46981,391980N1202301W001,NA,MW-5S,39.198,-120.23,Surveyed to a benchmark,0.1 ft.,6-108,Olympic Valley,Placer,25,Observation,Single Well
34407,393006N1201122W001,17N17E29B001M,17N17E29B001M,39.3006,-120.112,Unknown,Unknown,6-067,Martis Valley,Placer,100,Observation,Single Well
17644,393072N1201315W001,17N17E19K001M,17N17E19K001M,39.3072,-120.132,Unknown,Unknown,6-067,Martis Valley,Placer,201,Observation,Single Well
17640,393079N1202452W001,17N16E19G001M,NA,39.3079,-120.245,Unknown,Unknown,NA,NA,Placer,98,Residential,Unknown
