STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
9298,385315N1212254W001,08N07E20J001M,NA,38.5315,-121.225,Sacramento,6067008705,95742
30675,385326N1211950W001,08N07E22G001M,NA,38.5326,-121.195,Sacramento,6067008705,95742
31361,385343N1214280W001,08N05E21H002M,SCGA #11,38.5343,-121.428,Sacramento,6067003000,95820
9283,385388N1213276W001,08N06E21C001M,NA,38.5388,-121.328,Sacramento,6067009005,95827
8584,385397N1214741W001,08N05E18Q001M,NA,38.5397,-121.474,Sacramento,6067003700,95820
8726,385411N1213099W001,08N06E15P001M,NA,38.5411,-121.31,Sacramento,6067008801,95655
8583,385443N1214736W001,08N05E18K001M,NA,38.5443,-121.474,Sacramento,6067002700,95817
9282,385469N1213389W001,08N06E17H001M,SCGA #12,38.5469,-121.339,Sacramento,6067009103,95827
8582,385478N1214266W001,08N05E15E001M,NA,38.5478,-121.427,Sacramento,6067001700,95817
31360,385537N1214369W001,08N05E16C001M,NA,38.5537,-121.437,Sacramento,6067001700,95817
30674,385538N1212593W001,08N07E18E001M,NA,38.5538,-121.259,Sacramento,6067008801,95655
9296,385541N1211812W001,08N07E14C001M,SCGA #21,38.5541,-121.181,Sacramento,6067008600,95683
9297,385543N1212592W001,08N07E18E002M,NA,38.5543,-121.259,Sacramento,6067008801,95655
30673,385552N1212221W001,08N07E09N001M,NA,38.5552,-121.222,Sacramento,6067008705,95742
8581,385567N1214751W001,08N05E07P001M,NA,38.5567,-121.475,Sacramento,6067002700,95817
9295,385571N1212250W001,08N07E08R001M,NA,38.5571,-121.225,Sacramento,6067008704,95742
31659,385578N1213240W001,08N06E09Q004M,NA,38.5578,-121.324,Sacramento,6067009005,95827
40117,385608N1212491W001,08N07E07K001M,NA,38.5608,-121.249,Sacramento,6067008801,95655
8725,385636N1213490W001,08N06E08F001M,NA,38.5636,-121.349,Sacramento,6067009107,95827
12566,385650N1214998W001,08N04E12D001M,NA,38.565,-121.5,Sacramento,6067002100,95818
30672,385707N1211868W001,08N07E02N001M,SCGA #20,38.5707,-121.187,Sacramento,6067008600,95683
12550,385729N1215097W001,08N04E02K007M,NA,38.5729,-121.51,Sacramento,6067002100,95818
54938,385743N1212936W001,08N06E02M001M,GSW-Mather #18,38.5743,-121.294,Sacramento,6067009011,95670
51636,385760N1214031W001,NA,76,38.576,-121.403,Sacramento,6067005508,95825
30630,385774N1214889W001,08N04E01G001M,08N04E01G001M,38.5774,-121.489,Sacramento,6067001101,95814
31359,385784N1214655W001,08N05E06H001M,NA,38.5784,-121.466,Sacramento,6067000400,95816
52417,385788N1214110W001,NA,SSWD 70,38.5788,-121.411,Sacramento,6067005508,95825
54936,385812N1212921W001,08N06E02C001M,GSW-Capital Well #23,38.5812,-121.292,Sacramento,6067009010,95670
52420,385823N1213382W001,NA,SSWD 74,38.5823,-121.338,Sacramento,6067005804,95608
51637,385825N1214084W001,NA,68,38.5825,-121.408,Sacramento,6067005510,95825
48014,385828N1213385W001,NA,SGA_MW06,38.5828,-121.338,Sacramento,6067005804,95608
52419,385832N1213368W001,NA,SSWD 73,38.5832,-121.337,Sacramento,6067005804,95608
51635,385841N1213534W001,NA,71,38.5841,-121.353,Sacramento,6067005803,95864
52418,385841N1213534W002,NA,SSWD 71,38.5841,-121.353,Sacramento,6067005803,95864
48012,385841N1214185W001,NA,SGA_MW04,38.5841,-121.419,Sacramento,6067005402,95815
9649,385849N1213173W001,09N06E33R001M,SCGA #24,38.5849,-121.317,Sacramento,6067008911,95670
55103,385849N1213385W001,10N05E36A954M,SSWD 72,38.5849,-121.339,Sacramento,6067005804,95608
9650,385852N1212995W001,09N06E34R001M,NA,38.5852,-121.3,Sacramento,6067009008,95670
52412,385873N1213584W001,NA,SSWD 55A,38.5873,-121.358,Sacramento,6067005803,95864
54939,385891N1213116W001,09N06E34L002M,GSW-Paseo #24,38.5891,-121.312,Sacramento,6067008910,95670
31415,385904N1213762W001,09N05E36H001M,NA,38.5904,-121.376,Sacramento,6067005702,95864
9660,385914N1212475W001,09N07E31G001M,NA,38.5914,-121.248,Sacramento,6067008705,95742
9661,385923N1211621W001,09N07E36F001M,NA,38.5923,-121.162,Sacramento,6067008600,95683
55106,385944N1214451W001,10N05E36A957M,SAC-157,38.5944,-121.445,Sacramento,6067005402,95815
52411,385945N1213519W001,09N06E32D002M,SSWD 47,38.5945,-121.352,Sacramento,6067005803,95864
